name,url
"E. Arias-Castro","http://math.ucsd.edu/%7Eeariasca/"
"F. Bascou","https://bascouflorent.github.io"
"Y. Bekhti","https://sites.google.com/site/yousrabekhti/"
"A. Bellet","http://researchers.lille.inria.fr/abellet/"
"P. C. Bellec","http://www.stat.rutgers.edu/home/PCB71/"
"Q. Bertrand","https://qb3.github.io/"
"D. Blanc","https://fr.linkedin.com/in/damien-blanc-327144151"
"M. Blondel","http://mblondel.org/"
"C. Boyer","http://www.math.univ-toulouse.fr/%7ecboyer/"
"D. Chételat","https://courses.cit.cornell.edu/dc623/"
"S. Clémençon","http://perso.telecom-paristech.fr/%7Eclemenco"
"V. Cohen", "https://cermics.enpc.fr/%7Ecohenv/"
"I. Colin","http://perso.telecom-paristech.fr/%7Ecolin"
"J.-A. Chevalier","https://team.inria.fr/parietal/team-members/jerome-alexis-chevalier/"
"E. Chzhen","https://echzhen.com/"
"A. S. Dalalyan","http://www.arnak-dalalyan.fr/"
"Y. De Castro","http://www.normalesup.org/%7edecastro/"
"C. Denis","http://perso-math.univ-mlv.fr/users/denis.christophe/"
"V. Duval","https://who.rocq.inria.fr/Vincent.Duval"
"C.-A. Deledalle","http://www.math.u-bordeaux1.fr/%7Ecdeledal/"
"J. Fadili","http://www.greyc.ensicaen.fr/%7ejfadili/"
"R. Flamary","http://remi.flamary.com/"
"O. Fercoq","http://perso.telecom-paristech.fr/%7Eofercoq/"
"Z. T. Harmany","http://drz.ac/"
"M. Hebiri","http://perso-math.univ-mlv.fr/users/hebiri.mohamed/"
"G. Gasso","http://asi.insa-rouen.fr/enseignants/~gasso/"
"N. Gazagnadou","https://ngazagna.github.io/"
"R. Gower","https://perso.telecom-paristech.fr/rgower/index.html"
"A. Gramfort","http://alexandre.gramfort.net/"
"D. Günther","http://perso.telecom-paristech.fr/%7egunther/"
"Z. Harchaoui","http://faculty.washington.edu/zaid/group.html"
"Q. Klopfenstein","https://klopfe.github.io/"
"O. Klopp","http://kloppolga.perso.math.cnrs.fr/"
"J. Lafond","https://scholar.google.com/citations?user=X_tkpWYAAAAJ&hl=en"
"S. Lèbre","http://www.univ-montp3.fr/miap/%7Elebre/"
"V. Leclère","http://cermics.enpc.fr/%7Eleclerev/"
"J. Lederer","http://johanneslederer.de/"
"T. Le","https://sites.google.com/site/lttamvn/"
"E. Le Pennec","http://www.cmap.polytechnique.fr/%7Elepennec/"
"L. Liu","https://www.stat.washington.edu/person/lang-liu"
"F. Lucka","http://felixlucka.github.io/"
"M. Massias","https://mathurinm.github.io/"
"E. Moulines","http://perso.telecom-paristech.fr/%7Emoulines/"
"K. Meziani","http://www.dauphine.fr/fr/cv-enseignants/enseignants/cv/katia-meziani.html"
"E. Ndiaye","https://eugenendiaye.github.io/"
"T.-B. Nguyen","https://www.imo.universite-paris-saclay.fr/%7Etbnguyen/"
"G. Obozinski","http://imagine.enpc.fr/%7Eobozinsg/"
"G. Peyré","http://www.ceremade.dauphine.fr/%7Epeyre/"
"N. Papadakis","http://www.math.u-bordeaux1.fr/%7Enpapadak/"
"A. Parmentier","https://cermics.enpc.fr/%7Eparmenta/"
"A. Rakotomamonjy","https://sites.google.com/site/alainrakotomamonjy/"
"J. Salmon","http://josephsalmon.eu/"
"Y. Strozecki","http://www.prism.uvsq.fr/%7Eystr/"
"J. Tierny","http://perso.telecom-paristech.fr/%7Etierny/"
"B. Thirion","https://team.inria.fr/parietal/team-members/bertrand-thirions-page/"
"I. Takeuchi","https://team.inria.fr/parietal/team-members/bertrand-thirions-page/"
"S. Vaiter","http://samuelvaiter.com/"
"G. Varoquaux","http://gael-varoquaux.info/"
"R. Willett","http://willett.ece.wisc.edu/"
